OC,B2_S2_veg,B3_S2_veg,B4_S2_veg,B8_S2_veg,B5_S2_veg,B6_S2_veg,B7_S2_veg,B8A_S2_veg,B11_S2_veg,B12_S2_veg,B2_S2_bare,B3_S2_bare,B4_S2_bare,B8_S2_bare,B5_S2_bare,B6_S2_bare,B7_S2_bare,B8A_S2_bare,B11_S2_bare,B12_S2_bare
30.7,0.43737707687478944,0.29840120917144275,0.33854550640336945,0.21003452610552417,0.2705243206238811,0.23456113776051513,0.23280007929714938,0.2601086939384999,0.5303042701953437,0.861120481878098,0.24131161236424398,0.18727597316559508,0.14088247995765868,0.3023339356277712,0.22578883828615703,0.2744913895533152,0.20464568934477345,0.24606326502320042,0.2237568185419072,0.20633181320105298
15.2,0.3515956116691171,0.26399467183282355,0.3965529811204537,0.23194267461082788,0.27687450061772056,0.1903292324506909,0.19357114278334445,0.25044425775733736,0.41238512337277355,0.4266040878928318,0.35952079272254706,0.47119206683496295,0.4982882698591542,0.5701226214284563,0.5346762656247506,0.536275949380224,0.5446416496149082,0.5887153726340852,0.5357340636623587,0.512478573409658
9.5,0.41422886542620085,0.42940235270604343,0.24966899358044922,0.6404162074665931,0.3870695832033249,0.7857732368541985,0.7501150990406443,0.7076569992274758,0.5196363610667819,0.526512829820642,0.24455931495405175,0.377749340994993,0.4939523919304616,0.5219024283010472,0.5398828908204201,0.4419942821860521,0.5073356225135903,0.5283143190325132,0.6451664742762726,0.5612743649317757
7.8,0.4422074068807478,0.4902640576968281,0.39389995088693364,0.6799640962942555,0.42585591045747245,0.6856199560797411,0.7341182014692642,0.7249993806292357,0.5248084734199243,0.5527815973551947,0.4174175020885548,0.5640187915219648,0.6857657435337945,0.7329887565747497,0.6758738426028519,0.6425077785445346,0.6497027285740631,0.7675675014474788,0.7167289106176864,0.6503422949905353
11.2,0.6779417917508691,0.6583761354435539,0.645518174857453,0.5848580210772834,0.6699835740236724,0.6645264220024478,0.6333736813050458,0.6426388347721506,0.8038495195679771,0.8925397397070176,0.4195697577276524,0.5423785547915594,0.6301591373269735,0.7558670090987565,0.692443922856145,0.6729586833462182,0.6965899410726362,0.7197436127443384,0.6645390552499943,0.6083560292265513
23.5,0.3208559050043708,0.3074120801314554,0.3070612213398941,0.4444805586168893,0.31611655058488847,0.4662373602136472,0.47086758268379847,0.5085642084779471,0.30623030967253395,0.26963133449330223,0.25442355889724316,0.29911853721809245,0.2576459624707361,0.27456583864585626,0.36017720607918235,0.371912146982063,0.35411218154194746,0.31941742030711007,0.2923609696475862,0.3523190731891406
26.5,0.3373606086322152,0.29052478812813487,0.40100196345575323,0.3678773763603801,0.30306358762217195,0.28639283891467265,0.2417837131661967,0.3574062103743477,0.3962487710819427,0.3838417146001195,0.17802283486494014,0.23662812591528481,0.24103086958921738,0.37739465655812876,0.326564159201828,0.34495488530646345,0.3246875795870694,0.3712159638578778,0.2739480772277678,0.26395626929529814
5.2,0.3322963201985426,0.27168656023202276,0.34564751897218904,0.33521533613445376,0.3257299713194071,0.33925515986498606,0.34462642432801815,0.38243104151135476,0.39009192865539444,0.3681114963948151,0.35325814536340844,0.4989190923164899,0.6134498803466537,0.686824764488577,0.6246142009505593,0.5865844103958366,0.5898673036559556,0.6210981268399289,0.5368823702496548,0.4136684596043412
15.5,0.5213962578197566,0.4019779628277441,0.39787949623721364,0.3124526449924231,0.3522217646514853,0.3557696802590929,0.3311401208123905,0.35244673974490937,0.585139146690361,0.6607550061276897,0.35952079272254706,0.47119206683496295,0.4982882698591542,0.5701226214284563,0.5346762656247506,0.536275949380224,0.5446416496149082,0.5887153726340852,0.5357340636623587,0.512478573409658
8.8,0.40975934793051616,0.3588592135161929,0.3776368044286401,0.3653438834550212,0.3457418533743773,0.34269147043201015,0.339216950296267,0.38991304034468544,0.436909917029653,0.4595881318259438,0.25332428292954595,0.6946958813930462,0.7222061674237676,0.9903597145446061,0.7027268746598498,0.502703249606965,0.36337809236930174,0.8189958165819924,0.4224983590231093,0.49465756102883995
